epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1417.91,0.86765,0.67778,1.01389,0.89916,0.86892,0.94421,0.65742,1.17524,0.68247,0.98762,0.005743,0.005743,0.005743
45,1450.4,0.85401,0.66483,1.00662,0.81157,0.9088,0.96954,0.65448,1.23993,0.63803,1.00775,0.005644,0.005644,0.005644
46,1483.47,0.85451,0.67035,1.00654,0.87628,0.87647,0.94535,0.63553,1.25046,0.68319,1.02184,0.005545,0.005545,0.005545
47,1517.3,0.84348,0.65461,1.00851,0.86644,0.84731,0.95328,0.65856,1.2046,0.6714,0.9985,0.005446,0.005446,0.005446
48,1550.94,0.84166,0.64581,1.00124,0.87077,0.86265,0.95223,0.6466,1.24571,0.70559,1.02074,0.005347,0.005347,0.005347
49,1583.47,0.84444,0.64215,1.00064,0.85906,0.89166,0.95777,0.65675,1.21822,0.61018,1.00373,0.005248,0.005248,0.005248
50,1615.9,0.82964,0.62637,0.99585,0.90446,0.8588,0.96851,0.65467,1.23912,0.62933,1.01688,0.005149,0.005149,0.005149
51,1648.31,0.8249,0.62749,0.99163,0.86687,0.91304,0.97547,0.6367,1.32934,0.64168,1.04201,0.00505,0.00505,0.00505
52,1681.65,0.82672,0.62071,0.99595,0.89741,0.88676,0.95171,0.65462,1.20627,0.63611,1.00068,0.004951,0.004951,0.004951
53,1719.33,0.8284,0.62504,0.99582,0.85185,0.87988,0.94291,0.64319,1.22019,0.62426,1.0049,0.004852,0.004852,0.004852
54,1752.94,0.82021,0.62035,0.99095,0.91451,0.87966,0.97178,0.66531,1.2356,0.59837,1.01089,0.004753,0.004753,0.004753
55,1784.99,0.81577,0.605,0.99143,0.88344,0.89932,0.96895,0.6574,1.22941,0.60723,1.00846,0.004654,0.004654,0.004654
56,1818,0.8018,0.60702,0.98289,0.88164,0.8527,0.9549,0.65978,1.21586,0.64468,1.00496,0.004555,0.004555,0.004555
57,1851.55,0.80312,0.60222,0.98208,0.91385,0.86551,0.9657,0.65222,1.24885,0.58904,1.02017,0.004456,0.004456,0.004456
58,1884.72,0.79928,0.5942,0.98433,0.90402,0.93531,0.97544,0.65228,1.29379,0.55772,1.031,0.004357,0.004357,0.004357
59,1917.77,0.79538,0.59059,0.98334,0.89628,0.8851,0.96083,0.64915,1.27918,0.58818,1.03055,0.004258,0.004258,0.004258
60,1952.31,0.79395,0.59033,0.98205,0.90334,0.89992,0.96354,0.63895,1.2983,0.5861,1.04184,0.004159,0.004159,0.004159
61,1985.43,0.78905,0.57951,0.98059,0.89141,0.87245,0.95348,0.63141,1.32863,0.6076,1.05484,0.00406,0.00406,0.00406
62,2018.69,0.78631,0.57227,0.9777,0.88667,0.90626,0.96634,0.66074,1.25117,0.58491,1.01634,0.003961,0.003961,0.003961
63,2051.52,0.76925,0.55783,0.96962,0.89986,0.87174,0.95658,0.64897,1.24888,0.6039,1.01508,0.003862,0.003862,0.003862
64,2084.48,0.77686,0.57408,0.97111,0.88288,0.92086,0.96685,0.67051,1.21012,0.56327,1.00837,0.003763,0.003763,0.003763
65,2116.92,0.77235,0.56808,0.9746,0.91072,0.88518,0.95998,0.64877,1.27152,0.58532,1.02812,0.003664,0.003664,0.003664
66,2149.41,0.76806,0.56468,0.9659,0.9088,0.92141,0.97551,0.6713,1.22039,0.55295,1.00671,0.003565,0.003565,0.003565
67,2182.67,0.76081,0.5629,0.9705,0.90673,0.89784,0.96315,0.64348,1.265,0.5835,1.03352,0.003466,0.003466,0.003466
68,2215.52,0.76461,0.56551,0.9695,0.89437,0.89846,0.95392,0.63893,1.28142,0.62631,1.03954,0.003367,0.003367,0.003367
69,2248.36,0.75489,0.54952,0.96582,0.87689,0.91649,0.95459,0.6485,1.26508,0.60364,1.03343,0.003268,0.003268,0.003268
70,2281.75,0.75071,0.54226,0.96477,0.90728,0.85751,0.96638,0.65227,1.26844,0.6234,1.03258,0.003169,0.003169,0.003169
71,2314.1,0.74165,0.55002,0.96035,0.90662,0.90067,0.96002,0.66423,1.21793,0.57453,1.01265,0.00307,0.00307,0.00307
72,2346.42,0.74423,0.54229,0.95746,0.91705,0.89138,0.96302,0.65561,1.23292,0.59075,1.01706,0.002971,0.002971,0.002971
73,2379.57,0.74107,0.54098,0.96064,0.92069,0.91448,0.96316,0.64407,1.28555,0.60378,1.03629,0.002872,0.002872,0.002872
74,2414.08,0.72813,0.52273,0.95319,0.9171,0.91934,0.96219,0.65296,1.25768,0.59928,1.02836,0.002773,0.002773,0.002773
75,2446.64,0.72793,0.52255,0.95261,0.89831,0.9173,0.96272,0.66229,1.23503,0.57442,1.0257,0.002674,0.002674,0.002674
76,2479.18,0.72468,0.52339,0.94703,0.90281,0.92967,0.96256,0.65781,1.25725,0.56927,1.03625,0.002575,0.002575,0.002575
77,2511.64,0.72269,0.52181,0.94608,0.92146,0.91057,0.95714,0.66007,1.22341,0.56848,1.01376,0.002476,0.002476,0.002476
78,2544.51,0.72192,0.52487,0.95126,0.91129,0.93318,0.96704,0.65157,1.27579,0.56429,1.03919,0.002377,0.002377,0.002377
79,2577.66,0.71854,0.52189,0.94544,0.89923,0.92239,0.96087,0.6587,1.2675,0.57753,1.04014,0.002278,0.002278,0.002278
80,2610.19,0.71253,0.50899,0.94684,0.91282,0.91829,0.95748,0.65601,1.23747,0.58435,1.02516,0.002179,0.002179,0.002179
